Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
15.1,205.0,1.11,14.7,1.11,15.739999999999998
15.1,210.0,1.13,15.0,1.1179999999999999,15.84
15.1,215.0,1.1,15.0,1.112,14.86
15.1,220.0,1.11,15.0,1.114,14.84
15.1,225.0,1.11,14.6,1.108,14.780000000000001
15.1,230.0,1.12,14.6,1.112,15.7
15.0,235.0,1.1,14.7,1.116,14.66
15.1,240.0,1.13,14.6,1.118,14.62
15.1,245.0,1.13,14.8,1.116,16.619999999999997
15.0,250.0,1.12,14.7,1.1179999999999999,13.8
15.1,255.0,1.13,14.9,1.128,14.720000000000002
15.1,260.0,1.1,14.7,1.1219999999999999,14.7
15.1,265.0,1.14,14.8,1.128,14.74
15.1,270.0,1.1,14.6,1.1179999999999999,14.66
15.1,275.0,1.13,14.6,1.12,15.639999999999997
15.0,280.0,1.1,14.7,1.124,15.680000000000001
15.1,285.0,1.12,14.7,1.126,14.819999999999999
15.1,290.0,1.16,15.1,1.128,13.86
15.0,295.0,1.12,15.0,1.124,14.86
15.1,300.0,1.13,14.6,1.124,16.8
15.1,305.0,1.11,14.6,1.122,14.780000000000001
15.1,310.0,1.1,15.0,1.1179999999999999,16.639999999999997
15.1,315.0,1.12,14.6,1.112,15.719999999999999
15.1,320.0,1.11,14.7,1.112,14.76
15.1,325.0,1.11,14.8,1.1140000000000003,14.680000000000001
15.0,330.0,1.12,14.7,1.1120000000000003,14.7
15.1,335.0,1.11,14.6,1.1179999999999999,14.679999999999998
15.1,340.0,1.11,14.7,1.12,15.6
15.1,345.0,1.14,14.6,1.124,15.6
15.0,350.0,1.12,15.0,1.126,15.8
15.1,355.0,1.14,14.7,1.124,14.719999999999999
15.1,360.0,1.12,15.0,1.132,14.7
15.1,365.0,1.13,14.8,1.136,15.66
15.1,370.0,1.15,14.6,1.126,15.680000000000001
15.0,375.0,1.13,14.6,1.134,13.74
15.1,380.0,1.13,14.7,1.1300000000000001,14.76
15.1,385.0,1.13,14.9,1.1320000000000001,14.84
15.1,390.0,1.11,15.0,1.132,14.919999999999998
15.1,395.0,1.16,15.0,1.13,15.86
15.1,400.0,1.13,15.0,1.134,13.959999999999999
20.1,10.0,0.2,20.1,0.296,21.740000000000002
20.1,15.0,0.36,19.4,0.382,20.72
20.1,20.0,0.46,20.1,0.47000000000000003,19.8
20.1,25.0,0.6,20.0,0.604,19.7
20.1,30.0,0.73,19.4,0.662,20.619999999999997
20.1,35.0,0.87,19.6,0.826,19.78
20.1,40.0,0.98,20.0,0.93,19.64
20.1,45.0,1.11,19.4,0.9480000000000001,22.619999999999997
20.1,50.0,1.12,19.4,1.106,20.56
20.1,55.0,1.13,19.9,1.1280000000000001,19.44
20.1,60.0,1.12,19.4,1.128,20.54
20.1,65.0,1.15,19.6,1.124,18.76
20.1,70.0,1.12,19.9,1.128,19.639999999999997
20.1,75.0,1.12,20.0,1.1219999999999999,19.639999999999997
20.1,80.0,1.13,19.3,1.114,19.619999999999997
20.1,85.0,1.09,19.4,1.112,19.5
20.1,90.0,1.11,19.5,1.11,19.36
20.1,95.0,1.11,19.3,1.116,19.360000000000003
20.1,100.0,1.11,19.3,1.12,19.380000000000003
20.1,105.0,1.16,19.3,1.126,19.36
20.1,110.0,1.11,19.5,1.1280000000000001,19.36
20.1,115.0,1.14,19.4,1.1300000000000001,20.380000000000003
20.1,120.0,1.12,19.3,1.128,20.380000000000003
20.1,125.0,1.12,19.4,1.128,18.46
20.1,130.0,1.13,19.5,1.124,20.339999999999996
20.1,135.0,1.13,19.4,1.13,20.38
20.1,140.0,1.12,19.4,1.128,19.4
20.1,145.0,1.14,19.3,1.124,19.36
20.1,150.0,1.12,19.4,1.12,19.360000000000003
20.0,155.0,1.11,19.3,1.1179999999999999,19.479999999999997
20.1,160.0,1.11,19.4,1.114,19.52
20.0,165.0,1.11,20.0,1.1200000000000003,19.54
20.1,170.0,1.12,19.5,1.124,19.560000000000002
20.1,175.0,1.15,19.5,1.13,20.54
20.1,180.0,1.13,19.4,1.126,20.4
20.1,185.0,1.13,19.4,1.126,20.4
20.1,190.0,1.11,19.3,1.12,20.4
20.1,195.0,1.11,19.5,1.118,20.4
20.1,200.0,1.12,19.5,1.118,19.44
20.1,205.0,1.11,19.4,1.124,19.5
20.1,210.0,1.14,19.5,1.128,19.46
20.1,215.0,1.14,19.6,1.1239999999999999,19.440000000000005
20.1,220.0,1.13,19.3,1.126,19.48
20.1,225.0,1.1,19.4,1.122,19.46
20.1,230.0,1.12,19.6,1.12,20.419999999999998
20.1,235.0,1.12,19.4,1.118,20.380000000000003
20.1,240.0,1.12,19.3,1.118,20.42
20.1,245.0,1.12,19.3,1.12,20.36
20.1,250.0,1.11,19.5,1.118,18.419999999999998
20.1,255.0,1.12,19.3,1.118,19.38
20.0,260.0,1.12,19.3,1.1140000000000003,19.4
20.1,265.0,1.12,19.5,1.1140000000000003,19.380000000000003
20.1,270.0,1.1,19.4,1.112,19.38
20.1,275.0,1.11,19.4,1.114,19.4
20.1,280.0,1.11,19.3,1.1140000000000003,20.3
20.1,285.0,1.13,19.4,1.118,20.419999999999998
20.1,290.0,1.14,19.6,1.12,20.419999999999998
20.1,295.0,1.12,19.5,1.124,20.380000000000003
20.1,300.0,1.11,19.5,1.124,20.380000000000003
20.1,305.0,1.13,19.4,1.124,19.46
20.1,310.0,1.14,19.4,1.124,19.419999999999998
20.1,315.0,1.12,19.5,1.13,19.4
20.1,320.0,1.12,19.3,1.136,19.4
20.1,325.0,1.14,19.4,1.138,20.36
20.1,330.0,1.16,19.4,1.1380000000000001,19.34
20.1,335.0,1.15,19.4,1.1320000000000001,19.380000000000003
20.1,340.0,1.11,19.3,1.1280000000000001,19.520000000000003
20.1,345.0,1.12,19.4,1.124,19.479999999999997
20.1,350.0,1.12,20.0,1.12,21.44
20.1,355.0,1.11,19.4,1.124,20.499999999999996
20.1,360.0,1.1,20.0,1.12,20.48
20.1,365.0,1.14,19.4,1.1300000000000001,20.38
20.1,370.0,1.1,19.5,1.1320000000000001,19.459999999999997
20.1,375.0,1.14,19.4,1.126,20.42
20.1,380.0,1.13,19.3,1.122,20.44
20.1,385.0,1.12,19.6,1.128,19.52
20.1,390.0,1.12,19.4,1.124,20.46
20.1,395.0,1.12,19.5,1.134,20.46
20.1,400.0,1.11,19.3,1.134,19.56
25.1,10.0,0.17,25.1,0.24,24.880000000000003
25.1,15.0,0.29,24.0,0.322,25.54
25.1,20.0,0.39,25.1,0.4,24.639999999999997
25.1,25.0,0.5,25.0,0.48600000000000004,23.619999999999997
25.1,30.0,0.65,24.0,0.614,23.72
25.1,35.0,0.72,24.2,0.7000000000000001,25.38
25.1,40.0,0.8,25.1,0.82,25.619999999999997
25.1,45.0,0.93,24.0,0.938,25.32
25.1,50.0,1.02,25.0,1.004,24.5
25.1,55.0,1.14,24.0,1.034,25.18
25.1,60.0,1.13,24.4,1.112,22.48
25.1,65.0,1.12,24.3,1.1359999999999997,24.48
25.1,70.0,1.12,24.3,1.124,24.640000000000004
25.1,75.0,1.14,24.5,1.126,24.6
25.1,80.0,1.11,24.5,1.128,25.440000000000005
25.1,85.0,1.12,24.4,1.124,24.4
25.1,90.0,1.13,24.2,1.124,25.22
25.1,95.0,1.12,24.4,1.122,23.34
25.1,100.0,1.12,24.4,1.124,25.119999999999997
25.1,105.0,1.13,24.4,1.124,25.240000000000002
25.1,110.0,1.12,24.2,1.124,23.34
25.1,115.0,1.12,24.4,1.128,25.18
25.1,120.0,1.14,24.2,1.126,25.08
25.1,125.0,1.13,24.3,1.1320000000000001,25.119999999999997
25.1,130.0,1.12,24.1,1.128,25.34
25.1,135.0,1.13,24.3,1.128,23.26
25.1,140.0,1.13,24.3,1.128,24.24
25.1,145.0,1.13,24.2,1.13,24.259999999999998
25.1,150.0,1.13,24.3,1.128,25.380000000000003
25.1,155.0,1.13,24.2,1.122,23.28
25.0,160.0,1.13,24.3,1.12,23.359999999999996
25.1,165.0,1.11,24.4,1.128,25.160000000000004
25.1,170.0,1.12,24.5,1.124,25.179999999999996
25.1,175.0,1.14,24.3,1.124,24.359999999999996
25.1,180.0,1.12,24.3,1.128,24.34
25.1,185.0,1.13,24.3,1.132,24.3
25.1,190.0,1.13,24.3,1.126,24.32
25.1,195.0,1.14,24.3,1.126,24.3
25.1,200.0,1.11,24.4,1.126,24.319999999999997
25.1,205.0,1.12,24.2,1.128,24.339999999999996
25.1,210.0,1.13,24.4,1.126,24.32
25.1,215.0,1.14,24.4,1.132,23.360000000000003
25.1,220.0,1.13,24.2,1.132,25.160000000000004
25.1,225.0,1.15,24.3,1.126,23.32
25.1,230.0,1.13,24.4,1.124,25.16
25.1,235.0,1.13,24.2,1.1320000000000001,25.38
25.1,240.0,1.12,24.3,1.128,25.38
25.1,245.0,1.13,24.3,1.128,25.38
25.1,250.0,1.12,24.2,1.124,23.34
25.1,255.0,1.13,24.4,1.13,25.139999999999997
25.1,260.0,1.13,24.2,1.13,25.139999999999997
25.1,265.0,1.13,24.2,1.13,24.3
25.1,270.0,1.12,24.3,1.128,24.220000000000002
25.1,275.0,1.14,24.4,1.126,24.28
