Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,530.0,3.0,1.08,9.8,1.094,9.819999999999999
10.0,535.0,3.0,1.1,9.8,1.094,9.820000000000002
10.0,540.0,3.0,1.1,9.9,1.094,9.820000000000002
10.0,545.0,3.0,1.09,9.8,1.098,9.84
10.0,550.0,3.0,1.1,9.8,1.098,9.84
10.0,555.0,3.0,1.1,9.9,1.096,9.84
10.0,560.0,3.0,1.1,9.8,1.094,9.84
10.0,565.0,3.0,1.09,9.9,1.094,9.84
10.0,570.0,3.0,1.08,9.8,1.092,9.820000000000002
10.0,575.0,3.0,1.1,9.8,1.09,9.84
10.0,580.0,3.0,1.09,9.8,1.09,9.84
10.0,585.0,3.0,1.09,9.9,1.094,9.84
10.0,590.0,3.0,1.09,9.9,1.094,9.84
10.0,595.0,3.0,1.09,9.8,1.094,9.86
10.0,600.0,3.0,1.1,9.9,1.096,9.879999999999999
10.0,605.0,3.0,1.1,9.9,1.096,9.879999999999999
10.0,610.0,3.0,1.1,9.9,1.096,9.86
10.0,615.0,3.0,1.1,9.9,1.098,9.86
10.0,620.0,3.0,1.1,9.9,1.096,9.84
10.0,625.0,3.0,1.09,9.8,1.096,9.84
10.0,630.0,3.0,1.1,9.8,1.092,9.82
10.0,635.0,3.0,1.09,9.8,1.092,9.84
10.0,640.0,3.0,1.08,9.8,1.092,9.84
10.0,645.0,3.0,1.09,9.8,1.092,9.84
10.0,650.0,3.0,1.1,10.0,1.09,9.879999999999999
10.0,655.0,3.0,1.09,9.8,1.094,9.9
10.0,660.0,3.0,1.09,9.9,1.094,9.9
10.0,665.0,3.0,1.09,9.9,1.094,9.9
10.0,670.0,3.0,1.1,9.9,1.092,9.86
10.0,675.0,3.0,1.11,9.9,1.092,9.879999999999999
10.0,680.0,3.0,1.1,10.0,1.092,9.86
10.0,685.0,3.0,1.09,9.8,1.092,9.860000000000001
10.0,690.0,3.0,1.09,9.9,1.092,9.860000000000001
10.0,695.0,3.0,1.09,9.8,1.088,9.860000000000001
10.0,700.0,3.0,1.09,9.9,1.086,9.86
10.0,705.0,3.0,1.08,9.9,1.0859999999999999,9.860000000000001
10.0,710.0,3.0,1.08,9.9,1.0879999999999999,9.879999999999999
10.0,715.0,3.0,1.08,9.8,1.0879999999999999,9.879999999999999
10.0,720.0,3.0,1.09,9.9,1.0859999999999999,9.879999999999999
10.0,725.0,3.0,1.1,9.9,1.088,9.86
10.0,730.0,3.0,1.08,9.9,1.09,9.879999999999999
10.0,735.0,3.0,1.09,9.8,1.0899999999999999,9.879999999999999
10.0,740.0,3.0,1.09,9.9,1.0879999999999999,9.879999999999999
10.0,745.0,3.0,1.08,9.8,1.082,9.860000000000001
10.0,750.0,3.0,1.08,9.9,1.082,9.86
10.0,755.0,3.0,1.07,9.8,1.082,9.879999999999999
10.0,760.0,3.0,1.08,9.8,1.08,9.879999999999999
10.0,765.0,3.0,1.08,9.9,1.08,9.879999999999999
10.0,770.0,3.0,1.09,9.9,1.08,9.86
10.0,775.0,3.0,1.08,9.9,1.08,9.86
10.0,780.0,3.0,1.07,9.8,1.08,9.86
10.0,785.0,3.0,1.08,9.8,1.078,9.86
10.0,790.0,3.0,1.08,9.9,1.082,9.84
10.0,795.0,3.0,1.08,9.9,1.082,9.84
10.0,800.0,3.0,1.1,9.8,1.082,9.84
15.0,10.0,3.0,0.34,15.0,0.6940000000000001,14.88
15.0,15.0,3.0,0.53,14.7,0.6940000000000001,14.88
15.0,20.0,3.0,0.69,15.0,0.694,14.88
15.0,25.0,3.0,0.87,15.0,0.842,14.820000000000002
15.0,30.0,3.0,1.04,14.7,0.954,14.819999999999999
15.0,35.0,3.0,1.08,14.7,1.036,14.76
15.0,40.0,3.0,1.09,14.7,1.036,14.76
15.0,45.0,3.0,1.1,14.7,1.082,14.7
15.0,50.0,3.0,1.09,14.8,1.09,14.7
15.0,55.0,3.0,1.11,14.7,1.096,14.7
15.0,60.0,3.0,1.1,14.7,1.096,14.7
15.0,65.0,3.0,1.08,14.7,1.094,14.7
15.0,70.0,3.0,1.11,14.7,1.094,14.7
15.0,75.0,3.0,1.09,14.7,1.09,14.7
15.0,80.0,3.0,1.09,14.7,1.09,14.7
15.0,85.0,3.0,1.08,14.7,1.096,14.7
15.0,90.0,3.0,1.1,14.7,1.092,14.7
15.0,95.0,3.0,1.11,14.7,1.092,14.7
15.0,100.0,3.0,1.09,14.7,1.092,14.7
15.0,105.0,3.0,1.08,14.7,1.092,14.7
15.0,110.0,3.0,1.1,14.7,1.092,14.7
15.0,115.0,3.0,1.09,14.7,1.0859999999999999,14.7
15.0,120.0,3.0,1.08,14.7,1.086,14.7
15.0,125.0,3.0,1.08,14.7,1.0859999999999999,14.7
15.0,130.0,3.0,1.09,14.7,1.086,14.7
15.0,135.0,3.0,1.09,14.7,1.088,14.7
15.0,140.0,3.0,1.09,14.7,1.092,14.7
15.0,145.0,3.0,1.09,14.7,1.094,14.7
15.0,150.0,3.0,1.1,14.7,1.096,14.7
15.0,155.0,3.0,1.1,14.7,1.098,14.7
15.0,160.0,3.0,1.1,14.7,1.098,14.7
15.0,165.0,3.0,1.1,14.7,1.094,14.7
15.0,170.0,3.0,1.09,14.7,1.092,14.7
15.0,175.0,3.0,1.08,14.7,1.0959999999999999,14.7
15.0,180.0,3.0,1.09,14.7,1.096,14.7
15.0,185.0,3.0,1.13,14.7,1.1,14.679999999999998
15.0,190.0,3.0,1.12,14.7,1.108,14.66
15.0,195.0,3.0,1.12,14.6,1.1179999999999999,14.66
15.0,200.0,3.0,1.13,14.6,1.126,14.639999999999997
15.0,205.0,3.0,1.13,14.7,1.126,14.64
