Timestamp,Set Send Rates,Send Rates,Pre Send Rates,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
2014/9/25 17:00,134.7,133.9,118.1668274,285.0,0.6,121.7,0.688,97.75999999999999
2014/9/25 17:00,134.7,132.8,118.1668274,290.0,0.58,121.9,0.688,97.64
2014/9/25 17:00,134.7,133.5,118.1668274,295.0,0.59,121.3,0.6900000000000001,97.84
2014/9/25 17:00,134.7,134.6,118.1668274,300.0,0.59,121.5,0.6839999999999999,97.58
2014/9/25 17:00,134.7,133.8,118.1668274,305.0,0.6,122.0,0.686,97.8
2014/9/25 17:00,134.7,134.1,118.1668274,310.0,0.59,121.9,0.6839999999999999,97.66
2014/9/25 17:00,134.7,134.5,118.1668274,315.0,0.58,121.1,0.668,97.66
2014/9/25 17:00,134.7,134.3,118.1668274,320.0,0.6,120.9,0.6780000000000002,97.6
2014/9/25 17:00,134.7,133.3,118.1668274,325.0,0.6,120.7,0.682,97.6
2014/9/25 17:00,134.7,134.0,118.1668274,330.0,0.59,121.2,0.6860000000000002,97.70000000000002
2014/9/25 17:00,134.7,134.7,118.1668274,335.0,0.59,121.5,0.6660000000000001,97.60000000000001
2014/9/25 17:00,134.7,134.7,118.1668274,340.0,0.6,121.8,0.656,97.84
2014/9/25 17:00,134.7,132.6,118.1668274,345.0,0.6,121.4,0.6839999999999999,97.56
2014/9/25 17:00,134.7,134.4,118.1668274,350.0,0.58,121.7,0.684,97.6
2014/9/25 17:00,134.7,134.8,118.1668274,355.0,0.59,121.5,0.6900000000000001,97.56000000000002
2014/9/25 17:00,134.7,134.5,118.1668274,360.0,0.58,121.4,0.688,97.56
2014/9/25 17:00,134.7,133.9,118.1668274,365.0,0.6,121.2,0.6880000000000001,97.38
2014/9/25 17:00,134.7,134.0,118.1668274,370.0,0.6,121.4,0.6819999999999999,97.58
2014/9/25 17:00,134.7,134.5,118.1668274,375.0,0.59,121.5,0.682,97.48
2014/9/25 17:00,134.7,134.3,118.1668274,380.0,0.59,121.0,0.6799999999999999,97.55999999999999
2014/9/25 17:00,134.7,134.3,118.1668274,385.0,0.59,122.0,0.6759999999999999,97.44
2014/9/25 17:00,134.7,134.2,118.1668274,390.0,0.59,121.3,0.6880000000000001,97.3
2014/9/25 17:00,134.7,133.1,118.1668274,395.0,0.59,120.9,0.69,97.6
2014/9/25 17:00,134.7,134.8,118.1668274,400.0,0.59,121.7,0.69,97.66
2014/9/25 17:05,132.5,132.0,125.23307046666666,10.0,0.37,130.1,0.41600000000000004,114.88000000000002
2014/9/25 17:05,132.5,132.7,125.23307046666666,15.0,0.18,104.8,0.42400000000000004,116.54
2014/9/25 17:05,132.5,132.5,125.23307046666666,20.0,0.17,131.7,0.198,120.2
2014/9/25 17:05,132.5,131.7,125.23307046666666,25.0,0.18,130.7,0.21400000000000002,120.3
2014/9/25 17:05,132.5,131.2,125.23307046666666,30.0,0.23,104.4,0.252,114.88
2014/9/25 17:05,132.5,131.5,125.23307046666666,35.0,0.28,105.0,0.256,115.0
2014/9/25 17:05,132.5,132.2,125.23307046666666,40.0,0.26,131.1,0.28400000000000003,115.16000000000001
2014/9/25 17:05,132.5,132.1,125.23307046666666,45.0,0.31,104.6,0.29600000000000004,115.81999999999998
2014/9/25 17:05,132.5,132.5,125.23307046666666,50.0,0.31,131.1,0.354,116.2
2014/9/25 17:05,132.5,132.2,125.23307046666666,55.0,0.35,104.7,0.4,106.28000000000002
2014/9/25 17:05,132.5,132.1,125.23307046666666,60.0,0.43,106.9,0.42000000000000004,106.96000000000001
2014/9/25 17:05,132.5,132.8,125.23307046666666,65.0,0.43,106.2,0.472,101.23999999999998
2014/9/25 17:05,132.5,131.8,125.23307046666666,70.0,0.45,105.5,0.506,102.04
2014/9/25 17:05,132.5,132.0,125.23307046666666,75.0,0.48,105.5,0.538,102.48000000000002
2014/9/25 17:05,132.5,132.5,125.23307046666666,80.0,0.54,107.1,0.5479999999999999,101.72
2014/9/25 17:05,132.5,132.1,125.23307046666666,85.0,0.6,108.9,0.576,103.02000000000001
2014/9/25 17:05,132.5,132.5,125.23307046666666,90.0,0.55,104.7,0.5780000000000001,106.51999999999998
2014/9/25 17:05,132.5,131.9,125.23307046666666,95.0,0.62,108.0,0.5980000000000001,107.34
2014/9/25 17:05,132.5,132.7,125.23307046666666,100.0,0.57,130.6,0.63,111.44000000000001
2014/9/25 17:05,132.5,131.2,125.23307046666666,105.0,0.68,107.5,0.6519999999999999,114.35999999999999
2014/9/25 17:05,132.5,131.5,125.23307046666666,110.0,0.63,121.4,0.6319999999999999,118.66000000000001
2014/9/25 17:05,132.5,132.2,125.23307046666666,115.0,0.62,120.8,0.6319999999999999,118.6
2014/9/25 17:05,132.5,131.4,125.23307046666666,120.0,0.61,121.2,0.612,121.4
2014/9/25 17:05,132.5,131.8,125.23307046666666,125.0,0.62,121.1,0.6100000000000001,121.44000000000001
2014/9/25 17:05,132.5,132.5,125.23307046666666,130.0,0.61,121.0,0.602,121.64000000000001
2014/9/25 17:05,132.5,131.6,125.23307046666666,135.0,0.62,121.1,0.6079999999999999,121.47999999999999
2014/9/25 17:05,132.5,132.9,125.23307046666666,140.0,0.6,120.9,0.6020000000000001,121.6
2014/9/25 17:05,132.5,132.2,125.23307046666666,145.0,0.62,121.2,0.6140000000000001,121.5
2014/9/25 17:05,132.5,132.7,125.23307046666666,150.0,0.62,121.2,0.612,121.34
2014/9/25 17:05,132.5,130.2,125.23307046666666,155.0,0.61,121.2,0.6119999999999999,121.52000000000001
2014/9/25 17:05,132.5,131.5,125.23307046666666,160.0,0.61,121.7,0.608,121.64000000000001
2014/9/25 17:05,132.5,132.3,125.23307046666666,165.0,0.61,121.2,0.6100000000000001,121.64000000000001
2014/9/25 17:05,132.5,131.6,125.23307046666666,170.0,0.61,120.5,0.6140000000000001,121.52000000000001
2014/9/25 17:05,132.5,132.6,125.23307046666666,175.0,0.62,121.3,0.624,116.9
2014/9/25 17:05,132.5,131.6,125.23307046666666,180.0,0.61,121.5,0.616,121.54
2014/9/25 17:05,132.5,132.8,125.23307046666666,185.0,0.61,120.8,0.628,116.55999999999999
2014/9/25 17:05,132.5,132.7,125.23307046666666,190.0,0.61,120.9,0.632,116.17999999999999
2014/9/25 17:05,132.5,132.0,125.23307046666666,195.0,0.63,120.8,0.624,111.84
2014/9/25 17:05,132.5,132.5,125.23307046666666,200.0,0.62,120.2,0.626,111.8
2014/9/25 17:05,132.5,132.4,125.23307046666666,205.0,0.6,121.1,0.63,111.62
2014/9/25 17:05,132.5,131.6,125.23307046666666,210.0,0.61,121.2,0.624,116.64000000000001
2014/9/25 17:05,132.5,130.8,125.23307046666666,215.0,0.61,120.9,0.608,121.56000000000002
2014/9/25 17:05,132.5,132.1,125.23307046666666,220.0,0.62,121.5,0.602,121.78
2014/9/25 17:05,132.5,131.7,125.23307046666666,225.0,0.62,120.5,0.596,121.93999999999998
2014/9/25 17:05,132.5,132.5,125.23307046666666,230.0,0.62,121.6,0.6,121.92
2014/9/25 17:05,132.5,131.9,125.23307046666666,235.0,0.62,120.6,0.6100000000000001,121.61999999999998
2014/9/25 17:05,132.5,131.8,125.23307046666666,240.0,0.61,120.5,0.6100000000000001,121.61999999999998
2014/9/25 17:05,132.5,132.7,125.23307046666666,245.0,0.61,121.0,0.616,116.8
2014/9/25 17:05,132.5,132.2,125.23307046666666,250.0,0.61,121.0,0.61,121.48000000000002
2014/9/25 17:05,132.5,132.4,125.23307046666666,255.0,0.63,121.2,0.606,121.5
2014/9/25 17:05,132.5,132.1,125.23307046666666,260.0,0.61,121.0,0.6039999999999999,121.56000000000002
2014/9/25 17:05,132.5,132.9,125.23307046666666,265.0,0.62,121.4,0.6020000000000001,121.6
2014/9/25 17:05,132.5,131.6,125.23307046666666,270.0,0.61,121.5,0.604,121.6
2014/9/25 17:05,132.5,131.9,125.23307046666666,275.0,0.61,120.3,0.6,121.7
2014/9/25 17:05,132.5,131.8,125.23307046666666,280.0,0.62,121.1,0.606,121.51999999999998
2014/9/25 17:05,132.5,131.8,125.23307046666666,285.0,0.61,121.2,0.608,121.67999999999999
2014/9/25 17:05,132.5,131.4,125.23307046666666,290.0,0.61,120.2,0.608,121.67999999999999
2014/9/25 17:05,132.5,132.6,125.23307046666666,295.0,0.62,121.1,0.6100000000000001,121.67999999999999
2014/9/25 17:05,132.5,132.2,125.23307046666666,300.0,0.62,121.3,0.608,121.64000000000001
2014/9/25 17:05,132.5,132.0,125.23307046666666,305.0,0.62,121.6,0.616,116.96
2014/9/25 17:05,132.5,132.7,125.23307046666666,310.0,0.62,121.2,0.6199999999999999,121.17999999999999
2014/9/25 17:05,132.5,132.0,125.23307046666666,315.0,0.62,121.0,0.616,121.35999999999999
2014/9/25 17:05,132.5,130.6,125.23307046666666,320.0,0.62,121.1,0.6119999999999999,121.54
2014/9/25 17:05,132.5,132.7,125.23307046666666,325.0,0.62,121.2,0.61,121.5
2014/9/25 17:05,132.5,132.4,125.23307046666666,330.0,0.62,121.4,0.602,121.66
2014/9/25 17:05,132.5,132.0,125.23307046666666,335.0,0.61,120.6,0.608,121.51999999999998
2014/9/25 17:05,132.5,132.1,125.23307046666666,340.0,0.62,121.2,0.602,121.66
2014/9/25 17:05,132.5,132.6,125.23307046666666,345.0,0.63,121.2,0.604,121.6
2014/9/25 17:05,132.5,131.4,125.23307046666666,350.0,0.62,120.8,0.602,121.46
2014/9/25 17:05,132.5,132.6,125.23307046666666,355.0,0.62,120.5,0.61,121.23999999999998
2014/9/25 17:05,132.5,132.3,125.23307046666666,360.0,0.62,120.4,0.6,121.7
2014/9/25 17:05,132.5,132.2,125.23307046666666,365.0,0.62,121.1,0.604,121.63999999999999
2014/9/25 17:05,132.5,131.7,125.23307046666666,370.0,0.63,121.0,0.604,121.66
2014/9/25 17:05,132.5,132.1,125.23307046666666,375.0,0.62,120.7,0.61,121.5
2014/9/25 17:05,132.5,131.4,125.23307046666666,380.0,0.61,121.4,0.612,121.42
2014/9/25 17:05,132.5,132.8,125.23307046666666,385.0,0.62,121.3,0.616,121.28
2014/9/25 17:05,132.5,132.2,125.23307046666666,390.0,0.63,120.5,0.616,121.35999999999999
2014/9/25 17:05,132.5,132.2,125.23307046666666,395.0,0.62,120.9,0.626,121.22
2014/9/25 17:05,132.5,131.2,125.23307046666666,400.0,0.61,120.8,0.6519999999999999,111.71999999999998
2014/9/25 17:10,136.4,136.2,127.92130553333334,10.0,0.22,134.8,0.31999999999999995,113.72
2014/9/25 17:10,136.4,136.7,127.92130553333334,15.0,0.18,106.8,0.32,113.72
2014/9/25 17:10,136.4,136.4,127.92130553333334,20.0,0.19,135.6,0.20600000000000002,116.34
2014/9/25 17:10,136.4,135.9,127.92130553333334,25.0,0.2,134.9,0.21399999999999997,120.3
2014/9/25 17:10,136.4,136.0,127.92130553333334,30.0,0.24,107.2,0.25,116.75999999999999
2014/9/25 17:10,136.4,133.7,127.92130553333334,35.0,0.28,106.6,0.266,116.0
2014/9/25 17:10,136.4,135.2,127.92130553333334,40.0,0.28,134.0,0.29800000000000004,116.85999999999999
2014/9/25 17:10,136.4,135.4,127.92130553333334,45.0,0.31,106.7,0.30600000000000005,121.54
2014/9/25 17:10,136.4,135.0,127.92130553333334,50.0,0.32,133.6,0.328,117.41999999999999
2014/9/25 17:10,136.4,135.5,127.92130553333334,55.0,0.36,106.6,0.392,112.6
2014/9/25 17:10,136.4,136.7,127.92130553333334,60.0,0.44,109.6,0.41600000000000004,108.78000000000002
2014/9/25 17:10,136.4,135.9,127.92130553333334,65.0,0.43,108.4,0.44400000000000006,103.14000000000001
2014/9/25 17:10,136.4,135.0,127.92130553333334,70.0,0.44,107.6,0.48600000000000004,103.17999999999999
2014/9/25 17:10,136.4,134.3,127.92130553333334,75.0,0.49,107.6,0.528,102.72
2014/9/25 17:10,136.4,136.6,127.92130553333334,80.0,0.54,109.6,0.556,104.02000000000001
2014/9/25 17:10,136.4,135.8,127.92130553333334,85.0,0.59,111.4,0.582,104.06000000000002
2014/9/25 17:10,136.4,135.9,127.92130553333334,90.0,0.54,107.4,0.602,104.28
2014/9/25 17:10,136.4,136.2,127.92130553333334,95.0,0.64,110.3,0.618,107.75999999999999
2014/9/25 17:10,136.4,134.9,127.92130553333334,100.0,0.57,132.5,0.6300000000000001,111.94000000000001
2014/9/25 17:10,136.4,134.5,127.92130553333334,105.0,0.7,109.9,0.642,115.62
2014/9/25 17:10,136.4,135.9,127.92130553333334,110.0,0.61,121.5,0.6319999999999999,118.66
2014/9/25 17:10,136.4,136.6,127.92130553333334,115.0,0.61,120.9,0.64,118.32000000000001
2014/9/25 17:10,136.4,136.1,127.92130553333334,120.0,0.6,121.0,0.618,121.46
2014/9/25 17:10,136.4,135.9,127.92130553333334,125.0,0.61,121.1,0.616,121.24000000000001
2014/9/25 17:10,136.4,134.5,127.92130553333334,130.0,0.61,121.6,0.6220000000000001,121.02000000000001
2014/9/25 17:10,136.4,136.4,127.92130553333334,135.0,0.61,121.2,0.6140000000000001,121.22
2014/9/25 17:10,136.4,136.3,127.92130553333334,140.0,0.61,121.0,0.624,121.13999999999999
2014/9/25 17:10,136.4,136.1,127.92130553333334,145.0,0.62,121.4,0.624,120.9
2014/9/25 17:10,136.4,135.1,127.92130553333334,150.0,0.61,121.3,0.622,121.01999999999998
2014/9/25 17:10,136.4,136.2,127.92130553333334,155.0,0.61,120.8,0.62,121.14000000000001
2014/9/25 17:10,136.4,135.6,127.92130553333334,160.0,0.61,121.2,0.626,121.08
2014/9/25 17:10,136.4,136.7,127.92130553333334,165.0,0.6,121.6,0.62,121.42
2014/9/25 17:10,136.4,135.8,127.92130553333334,170.0,0.61,121.6,0.624,121.47999999999999
2014/9/25 17:10,136.4,135.9,127.92130553333334,175.0,0.61,121.1,0.62,121.53999999999999
2014/9/25 17:10,136.4,136.3,127.92130553333334,180.0,0.61,121.3,0.624,121.3
2014/9/25 17:10,136.4,135.7,127.92130553333334,185.0,0.61,120.9,0.628,120.92
2014/9/25 17:10,136.4,135.9,127.92130553333334,190.0,0.61,121.6,0.626,120.93999999999998
2014/9/25 17:10,136.4,135.1,127.92130553333334,195.0,0.61,120.6,0.62,121.05999999999999
2014/9/25 17:10,136.4,135.4,127.92130553333334,200.0,0.61,120.9,0.616,121.12
2014/9/25 17:10,136.4,136.1,127.92130553333334,205.0,0.59,121.8,0.6180000000000001,120.96
2014/9/25 17:10,136.4,135.6,127.92130553333334,210.0,0.6,121.3,0.616,121.24000000000001
2014/9/25 17:10,136.4,136.8,127.92130553333334,215.0,0.62,120.8,0.614,121.28
2014/9/25 17:10,136.4,136.2,127.92130553333334,220.0,0.61,120.6,0.606,121.6
2014/9/25 17:10,136.4,136.6,127.92130553333334,225.0,0.61,121.7,0.606,121.75999999999999
2014/9/25 17:10,136.4,136.1,127.92130553333334,230.0,0.6,121.1,0.608,121.71999999999998
2014/9/25 17:10,136.4,136.5,127.92130553333334,235.0,0.61,121.0,0.614,121.59999999999998
2014/9/25 17:10,136.4,136.0,127.92130553333334,240.0,0.62,121.4,0.6140000000000001,121.47999999999999
2014/9/25 17:10,136.4,136.0,127.92130553333334,245.0,0.6,121.3,0.622,121.28
2014/9/25 17:10,136.4,135.9,127.92130553333334,250.0,0.61,121.4,0.614,121.4
2014/9/25 17:10,136.4,135.6,127.92130553333334,255.0,0.62,121.0,0.612,121.28
2014/9/25 17:10,136.4,136.7,127.92130553333334,260.0,0.62,120.9,0.61,121.38
2014/9/25 17:10,136.4,134.1,127.92130553333334,265.0,0.62,120.2,0.6079999999999999,121.4
2014/9/25 17:10,136.4,136.1,127.92130553333334,270.0,0.6,121.4,0.6119999999999999,121.1
2014/9/25 17:10,136.4,136.9,127.92130553333334,275.0,0.61,121.6,0.618,120.84
2014/9/25 17:10,136.4,136.3,127.92130553333334,280.0,0.62,121.2,0.6140000000000001,121.24000000000001
2014/9/25 17:10,136.4,136.0,127.92130553333334,285.0,0.61,121.8,0.6180000000000001,121.1
2014/9/25 17:10,136.4,136.0,127.92130553333334,290.0,0.61,121.5,0.62,121.23999999999998
2014/9/25 17:10,136.4,135.0,127.92130553333334,295.0,0.62,121.7,0.62,121.2
2014/9/25 17:10,136.4,134.1,127.92130553333334,300.0,0.61,121.4,0.616,121.47999999999999
2014/9/25 17:10,136.4,135.3,127.92130553333334,305.0,0.62,120.8,0.6180000000000001,121.52000000000001
2014/9/25 17:10,136.4,135.3,127.92130553333334,310.0,0.61,121.5,0.62,121.17999999999999
2014/9/25 17:10,136.4,134.1,127.92130553333334,315.0,0.62,121.6,0.626,121.02000000000001
2014/9/25 17:10,136.4,135.2,127.92130553333334,320.0,0.61,121.8,0.628,121.01999999999998
2014/9/25 17:10,136.4,135.5,127.92130553333334,325.0,0.63,121.2,0.626,121.24000000000001
2014/9/25 17:10,136.4,136.7,127.92130553333334,330.0,0.61,121.7,0.618,121.34
2014/9/25 17:10,136.4,136.0,127.92130553333334,335.0,0.6,121.1,0.6159999999999999,121.38
2014/9/25 17:10,136.4,136.6,127.92130553333334,340.0,0.62,121.1,0.618,121.3
2014/9/25 17:10,136.4,136.9,127.92130553333334,345.0,0.61,121.0,0.618,121.1
